Player,Squad,90s,Yellow cards,Red cards,Two yellow cards,Fouls committed,Fouls drawn,Offsides,Crosses attempted,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Ball recoveries,Aerial duels won,Aerial duels lost,Aerial duels won percentage
Natalie Tathem,Perth Glory,19.5,0.05,0,0,1.33,0.41,0.21,1.49,0.67,2,0,0,0,6.62,0.62,1.28,32.4
Hayley Taylor-Young,Canberra Utd,22.5,0.04,0,0,0.4,0.98,0.04,2.18,1.78,2.89,0,0,0,4.44,0.8,0.31,72
Miranda Templeman,Perth Glory,6,0.17,0,0,0.17,0.5,0,0,0,0,0,0.17,0,1.17,0.33,0,100
Naomi Thomas-Chinnama,Perth Glory,22.3,0.13,0,0,0.49,0.09,0,0.22,1.43,1.21,0,0,0,3.63,0.94,0.63,60
Jordan Thompson,Sydney FC,23,0.13,0,0,0.83,0.3,0.04,0.3,2.04,1.09,0,0.04,0,4.61,0.83,0.7,54.3
Natalie Tobin,Sydney FC,23,0.09,0,0,0.61,0.39,0,0.39,2.13,1.35,0,0,0,8,1.3,0.78,62.5
Zoe Tolland,Adelaide Utd,22.6,0.04,0,0,0.4,0.58,0,0.35,1.73,1.46,0,0,0,4.29,0.66,0.88,42.9
Ella Tonkin,Adelaide Utd,23,0.09,0,0,0.52,0.17,0,0.22,1.91,1.78,0,0,0,6.22,1.35,1,57.4
Bronte Trew,W Sydney,8.8,0.11,0,0,0.8,0.45,1.7,2.5,0.23,0.45,0,0,0,2.84,0.23,0.8,22.2
Peta Trimis,Central Coast Mariners,12.7,0,0,0,0.47,0.47,0.47,1.73,0.71,1.57,0,0,0,3.54,0.55,0.79,41.2
Tori Tumeth,Sydney FC,22.1,0.18,0,0,1.18,0.45,0,1.36,2.58,1.4,0,0,0,5.34,0.95,0.86,52.5
Claudia Valleta,Perth Glory,1.7,0,0,0,1.76,1.18,0,0.59,0.59,1.18,0,0,0.59,3.53,1.18,0,100
Leia Varley,Brisbane Roar,14.6,0.21,0,0,0.89,0.48,0,0,1.99,2.88,0,0.07,0,7.33,2.26,0.62,78.6
Giavanna Vicari,Newcastle Jets,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,100
Carolina Vilão,Wellington Phoenix,22.4,0.04,0,0,0,0.09,0,0,0,0,0,0,0,2.05,0.18,0,100
Tyla-Jay Vlajnic,Melb City,9.1,0.11,0,0,0.44,1.54,0,5.16,2.2,1.98,0,0,0,4.95,0.33,0.22,60
Charli Wainwright,Perth Glory,9.6,0.1,0,0,2.29,0.94,0.1,0.52,0.63,2.92,0,0,0,3.54,0.52,0.52,50
Chloe Walandouw,Newcastle Jets,2.4,0,0,0,0.42,0.42,0,2.08,3.33,1.67,0,0,0,5,0,1.25,0
Lara Wall,Wellington Phoenix,21.1,0.05,0,0,0.43,0.71,0.09,4.36,1.71,2.7,0.05,0.09,0,4.64,0.28,0.28,50
Alyssa Whinham,Wellington Phoenix,15.7,0,0,0,1.27,1.02,0.06,0.45,0.32,2.61,0,0,0,8.15,0.38,0.51,42.9
Ellie Wilson,Melb Victory,10,0.2,0,0,1.2,0.8,0,1.7,2.5,2,0,0,0,5.9,0.8,0.6,57.1
